epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,137.615,1.11275,0.69391,0.00367,0.90215,0.7671,0.88928,0.52984,1.5951,0.87462,0.00674,0.00133143,0.00133143,0.00133143
63,139.881,1.09224,0.66071,0.00366,0.76157,0.78823,0.87653,0.5478,1.51118,0.88374,0.00639,0.00132593,0.00132593,0.00132593
64,142.053,1.12107,0.74087,0.00357,0.76092,0.82394,0.87358,0.55903,1.47933,0.99113,0.00625,0.00132043,0.00132043,0.00132043
65,144.167,1.07943,0.61508,0.00378,0.83337,0.84866,0.90143,0.53237,1.59537,0.86427,0.00673,0.00131493,0.00131493,0.00131493
66,146.32,1.07546,0.62531,0.00369,0.85363,0.86213,0.92674,0.51716,1.63488,0.81382,0.00689,0.00130943,0.00130943,0.00130943
67,148.479,1.13895,0.70547,0.00393,0.85742,0.85211,0.90751,0.58551,1.45416,0.77944,0.00614,0.00130393,0.00130393,0.00130393
68,150.669,1.12314,0.68193,0.0037,0.83369,0.82394,0.89453,0.55723,1.42946,0.86159,0.0061,0.00129843,0.00129843,0.00129843
69,152.825,1.08541,0.65574,0.00396,0.90556,0.76006,0.89834,0.55487,1.46203,0.88885,0.00621,0.00129293,0.00129293,0.00129293
70,155.105,1.10335,0.67933,0.0037,0.82697,0.83099,0.9165,0.56501,1.50686,0.88767,0.00638,0.00128742,0.00128742,0.00128742
71,157.357,1.15594,0.70166,0.00362,0.9359,0.81473,0.92538,0.58883,1.4554,0.77785,0.00614,0.00128192,0.00128192,0.00128192
72,159.575,1.12252,0.65147,0.00386,0.9335,0.77777,0.90364,0.54097,1.54772,0.92259,0.00661,0.00127642,0.00127642,0.00127642
73,161.843,1.10228,0.61301,0.00358,0.86813,0.77414,0.89218,0.52748,1.60096,0.96023,0.00677,0.00127092,0.00127092,0.00127092
74,164.125,1.08985,0.61887,0.00372,0.86541,0.90288,0.92515,0.53844,1.63344,0.75797,0.00694,0.00126542,0.00126542,0.00126542
75,166.485,1.2217,0.70372,0.00351,0.91422,0.8559,0.90946,0.55346,1.52602,0.82045,0.00648,0.00125992,0.00125992,0.00125992
76,168.675,1.02192,0.61064,0.00332,0.91385,0.77842,0.9108,0.58233,1.46736,0.85144,0.00615,0.00125442,0.00125442,0.00125442
77,170.955,1.11682,0.67324,0.00352,0.81034,0.83048,0.87389,0.55577,1.46779,0.95253,0.0062,0.00124892,0.00124892,0.00124892
78,173.105,1.18773,0.7026,0.00365,0.83093,0.86746,0.89799,0.55412,1.54078,0.86079,0.00645,0.00124342,0.00124342,0.00124342
79,175.205,1.03867,0.61401,0.00352,0.83054,0.83682,0.89885,0.5608,1.56141,0.86783,0.00653,0.00123791,0.00123791,0.00123791
80,177.369,1.10203,0.60379,0.00342,0.82951,0.83881,0.87565,0.51005,1.67979,0.90993,0.00715,0.00123241,0.00123241,0.00123241
81,179.51,1.07675,0.62662,0.00359,0.93496,0.74537,0.88777,0.53576,1.58096,0.88277,0.00678,0.00122691,0.00122691,0.00122691
82,181.731,1.06374,0.61627,0.00337,0.77693,0.8372,0.89505,0.5334,1.57281,0.83514,0.00673,0.00122141,0.00122141,0.00122141
83,183.975,1.07571,0.61467,0.00345,0.74592,0.87321,0.86532,0.50565,1.57416,0.96113,0.00673,0.00121591,0.00121591,0.00121591
84,186.181,1.11049,0.57653,0.00332,0.83145,0.82175,0.88913,0.53801,1.51503,0.93872,0.00646,0.00121041,0.00121041,0.00121041
85,188.434,1.03797,0.58266,0.00321,0.82291,0.81379,0.90334,0.54271,1.52748,0.91993,0.00653,0.00120491,0.00120491,0.00120491
86,190.682,1.06001,0.59396,0.00339,0.90389,0.78608,0.89955,0.55419,1.44938,0.95208,0.00614,0.00119941,0.00119941,0.00119941
87,192.883,1.05711,0.60957,0.00335,0.79235,0.8941,0.9217,0.57089,1.48631,0.84354,0.00633,0.00119391,0.00119391,0.00119391
88,195.11,1.13234,0.61621,0.00332,0.93379,0.75399,0.91498,0.56359,1.47296,0.87522,0.00628,0.0011884,0.0011884,0.0011884
89,197.263,1.00463,0.54307,0.00346,0.89104,0.82344,0.9249,0.56056,1.47303,0.79632,0.00629,0.0011829,0.0011829,0.0011829
90,199.555,1.0338,0.55449,0.00344,0.95907,0.82344,0.9439,0.58761,1.41288,0.71173,0.00609,0.0011774,0.0011774,0.0011774
91,201.745,1.05542,0.55938,0.00336,0.80958,0.88732,0.9199,0.58351,1.44051,0.78467,0.0062,0.0011719,0.0011719,0.0011719
92,203.908,1.0599,0.56917,0.00332,0.90432,0.80936,0.93149,0.59093,1.46926,0.73488,0.00622,0.0011664,0.0011664,0.0011664
